"","NUTS1","NUTS2","AreaType","Anz"
"157","BY","Pfaffenhofen a.d.Ilm","district",17
"158","BY","Regen","district",22
"159","BY","Regensburg","district",54
"160","BY","RhÃ¶n-Grabfeld","district",18
"161","BY","Rosenheim","district",84
"162","BY","Roth","district",33
"163","BY","Rottal-Inn","district",24
"164","BY","Schwandorf","district",31
"165","BY","Schweinfurt","district",32
"166","BY","Starnberg","district",28
"167","BY","Straubing","district",15
"168","BY","Straubing-Bogen","district",13
"169","BY","Tirschenreuth","district",15
"170","BY","Traunstein","district",31
"171","BY","UnterallgÃ¤u","district",30
"172","BY","Weiden i.d.OPf.","district",9
"173","BY","Weilheim-Schongau","district",25
"174","BY","WeiÃenburg-Gunzenhausen","district",23
"175","BY","Wunsiedel i.Fichtelgebirge","district",20
"176","BY","WÃ¼rzburg","district",73
"177","HB","Bremen","district",158
"178","HB","Bremerhaven","district",16
"179","HE","BergstraÃe","district",43
"180","HE","Darmstadt","district",18
"181","HE","Darmstadt-Dieburg","district",40
"182","HE","Frankfurt am Main","district",61
"183","HE","Fulda","district",52
"184","HE","GieÃen","district",36
"185","HE","GroÃ-Gerau","district",27
"186","HE","Hersfeld-Rotenburg","district",22
"187","HE","Hochtaunuskreis","district",36
"188","HE","Kassel","district",101
"189","HE","Kreisfreie Stadt Wiesbaden","district",1
"190","HE","Lahn-Dill-Kreis","district",57
"191","HE","Limburg-Weilburg","district",46
"192","HE","Main-Kinzig-Kreis","district",67
"193","HE","Main-Taunus-Kreis","district",22
"194","HE","Marburg-Biedenkopf","district",43
"195","HE","Odenwaldkreis","district",28
"196","HE","Offenbach","district",28
"197","HE","Offenbach am Main","district",14
"198","HE","Rheingau-Taunus-Kreis","district",29
"199","HE","Schwalm-Eder-Kreis","district",49
"200","HE","Vogelsbergkreis","district",27
"201","HE","Waldeck-Frankenberg","district",53
"202","HE","Werra-MeiÃner-Kreis","district",39
"203","HE","Wetteraukreis","district",41
"204","HE","Wiesbaden","district",33
"205","HH","Hamburg","district",239
"206","MV","Bad Doberan","district",42
"207","MV","Demmin","district",14
"208","MV","Greifswald","district",13
"209","MV","GÃ¼strow","district",35
"210","MV","Ludwigslust","district",33
"211","MV","Mecklenburg-Strelitz","district",18
"212","MV","MÃ¼ritz","district",28
"213","MV","Neubrandenburg","district",17
"214","MV","Nordvorpommern","district",27
"215","MV","Nordwestmecklenburg","district",31
"216","MV","Ostvorpommern","district",23
"217","MV","Parchim","district",25
"218","MV","Rostock","district",23
"219","MV","RÃ¼gen","district",13
"220","MV","Schwerin","district",21
"221","MV","Stralsund","district",15
"222","MV","Uecker-Randow","district",17
"223","NI","Ammerland","district",20
"224","NI","Aurich","district",35
"225","NI","Braunschweig","district",38
"226","NI","Celle","district",68
"227","NI","Cloppenburg","district",33
"228","NI","Cuxhaven","district",68
"229","NI","Delmenhorst","district",9
"230","NI","Diepholz","district",66
"231","NI","Emden","district",9
"232","NI","Emsland","district",71
"233","NI","Friesland","district",22
"234","NI","Gifhorn","district",30
"235","NI","Goslar","district",57
"236","NI","GÃ¶ttingen","district",55
"237","NI","Grafschaft Bentheim","district",34
"238","NI","Hameln-Pyrmont","district",68
"239","NI","Harburg","district",49
"240","NI","Helmstedt","district",23
"241","NI","Hildesheim","district",84
"242","NI","Holzminden","district",40
"243","NI","Leer","district",34
"244","NI","LÃ¼chow-Dannenberg","district",18
"245","NI","LÃ¼neburg","district",45
"246","NI","Nienburg (Weser)","district",41
"247","NI","Northeim","district",42
"248","NI","Oldenburg","district",42
"249","NI","Oldenburg (Oldenburg)","district",30
"250","NI","OsnabrÃ¼ck","district",124
"251","NI","Osterholz","district",37
"252","NI","Osterode am Harz","district",41
"253","NI","Peine","district",40
"254","NI","Region Hannover","district",256
"255","NI","Rotenburg (WÃ¼mme)","district",42
"256","NI","Salzgitter","district",19
"257","NI","Schaumburg","district",65
"258","NI","Soltau-Fallingbostel","district",27
"259","NI","Stade","district",34
"260","NI","Uelzen","district",39
"261","NI","Vechta","district",31
"262","NI","Verden","district",46
"263","NI","Wesermarsch","district",31
"264","NI","Wilhelmshaven","district",30
"265","NI","Wittmund","district",13
"266","NI","WolfenbÃ¼ttel","district",18
"267","NI","Wolfsburg","district",15
"268","NW","Bielefeld","district",49
"269","NW","Bochum","district",42
"270","NW","Bonn","district",65
"271","NW","Borken","district",71
"272","NW","Bottrop","district",18
"273","NW","Coesfeld","district",53
"274","NW","Dortmund","district",81
"275","NW","Duisburg","district",83
"276","NW","DÃ¼ren","district",68
"277","NW","DÃ¼sseldorf","district",95
"278","NW","Ennepe-Ruhr-Kreis","district",66
"279","NW","Essen","district",106
"280","NW","Euskirchen","district",51
"281","NW","Gelsenkirchen","district",31
"282","NW","GÃ¼tersloh","district",52
"283","NW","Hagen","district",30
"284","NW","Hamm","district",30
"285","NW","Heinsberg","district",73
