"","place","lat","lon","mapfeature","kvalue","operator","capacity"
"1537840554","Baden-Württemberg",48.5279368,9.0618916,"car_sharing","amenity","Ökostadt Tübingen e.V.","1"
"1578715767","Baden-Württemberg",49.0064143,8.5295817,"car_sharing","amenity","Stadtmobil","2"
"1583914378","Baden-Württemberg",47.996635,7.8392486,"car_sharing","amenity","Carsharing Freiburg",NA
"1583914476","Baden-Württemberg",47.996595,7.8391616,"car_sharing","amenity","Car-Sharing Südbaden - Freiburg e.V.",NA
"1598001201","Baden-Württemberg",48.3818105,9.8964016,"car_sharing","amenity","car2go",NA
"1631900168","Baden-Württemberg",48.7844668,9.1613968,"car_sharing","amenity","Stadtmobil Stuttgart","1"
"1631900172","Baden-Württemberg",48.7820256,9.1669885,"car_sharing","amenity","Stadtmobil Stuttgart","1"
"1631900180","Baden-Württemberg",48.7803012,9.1566522,"car_sharing","amenity","Stadtmobil Stuttgart","1"
"1693903248","Baden-Württemberg",48.5290984,9.0644488,"car_sharing","amenity","Ökostadt Tübingen e.V.","1"
"1709914551","Baden-Württemberg",49.4329833,8.6806293,"car_sharing","amenity","stadtmobil","1 PKW"
"1731463876","Baden-Württemberg",48.5106056,9.0774691,"car_sharing","amenity",NA,NA
"1731463879","Baden-Württemberg",48.5105217,9.0759402,"car_sharing","amenity",NA,NA
"1736456376","Baden-Württemberg",49.1123391,9.7225894,"car_sharing","amenity",NA,NA
"1736456418","Baden-Württemberg",49.1016257,9.7227739,"car_sharing","amenity",NA,NA
"1738365627","Baden-Württemberg",48.5105873,9.0775415,"car_sharing","amenity",NA,NA
"1738365644","Baden-Württemberg",48.5105964,9.0775061,"car_sharing","amenity",NA,NA
"1742831218","Baden-Württemberg",48.9100607,8.7443475,"car_sharing","amenity","Stadtmobil","1 PKW"
"1767737899","Baden-Württemberg",49.0134033,8.4163672,"car_sharing","amenity","Stadtmobil CarSharing GmbH & Co. KG","3"
"1782364889","Baden-Württemberg",48.6867657,9.0043342,"car_sharing","amenity","stadtmobil carsharing AG","1"
"1788287270","Baden-Württemberg",48.3983769,9.9813429,"car_sharing","amenity","Conficars","1"
"1808517720","Baden-Württemberg",47.6879873,9.1480871,"car_sharing","amenity","Car-Sharing Südbaden - Bodensee","1"
"1815321736","Baden-Württemberg",48.7598567,8.2375036,"car_sharing","amenity","stadtmobil","1"
"1815321802","Baden-Württemberg",48.7673534,8.2283192,"car_sharing","amenity","stadtmobil","2"
"1821630033","Baden-Württemberg",49.1434403,9.2131224,"car_sharing","amenity","stadtmobil","4"
"1834414917","Baden-Württemberg",49.1266348,9.2133423,"car_sharing","amenity","Stadtmobil","1"
"1835256269","Baden-Württemberg",48.4777675,9.20233,"car_sharing","amenity","teilAuto Reutlingen","1"
"1835256279","Baden-Württemberg",48.4847673,9.1882869,"car_sharing","amenity","teilAuto","1"
"1835256282","Baden-Württemberg",48.4885577,9.2123494,"car_sharing","amenity","teilAuto","4"
"1835256290","Baden-Württemberg",48.4931586,9.2035619,"car_sharing","amenity","teilAuto","1"
"1835256294","Baden-Württemberg",48.4963416,9.1960504,"car_sharing","amenity","teilAuto","1"
"1835256298","Baden-Württemberg",48.4989716,9.174675,"car_sharing","amenity","teilAuto","1"
"1845262227","Baden-Württemberg",48.7402396,9.1298135,"car_sharing","amenity","Stadtmobil Stuttgart","1"
"1845374374","Baden-Württemberg",48.5933294,8.8621559,"car_sharing","amenity","Stadtmobil Stuttgart","3"
"1845374375","Baden-Württemberg",48.5944942,8.8715144,"car_sharing","amenity","Stadtmobil Stuttgart","1"
"1873548575","Baden-Württemberg",49.4036198,8.6878647,"car_sharing","amenity","stadtmobil Rhein-Neckar","3"
"1899288007","Baden-Württemberg",49.4143251,8.7187531,"car_sharing","amenity","stadtmobil Rhein-Neckar","2"
"1913151069","Baden-Württemberg",48.7452263,9.1073359,"car_sharing","amenity","Stadtmobil Stuttgart","1"
"1932959663","Baden-Württemberg",49.0044913,8.4012063,"car_sharing","amenity","Stadtmobil",NA
"1934346180","Baden-Württemberg",49.0513835,8.3863233,"car_sharing","amenity","Stadtmobil",NA
"1934346181","Baden-Württemberg",48.9803021,8.4622547,"car_sharing","amenity","Stadtmobil",NA
"1935193589","Baden-Württemberg",48.764799,9.1737844,"car_sharing","amenity","Stadtmobil Stuttgart","2"
"1935193599","Baden-Württemberg",48.7651688,9.1728791,"car_sharing","amenity","Stadtmobil Stuttgart","4"
"1936082215","Baden-Württemberg",48.9921916,8.3925756,"car_sharing","amenity","Stadtmobil",NA
"1938459082","Baden-Württemberg",48.989957,8.3803525,"car_sharing","amenity","Stadtmobil",NA
"1939461043","Baden-Württemberg",49.0030003,8.3361016,"car_sharing","amenity","Stadtmobil",NA
"1939618283","Baden-Württemberg",48.9986359,8.3516929,"car_sharing","amenity","Stadtmobil",NA
"1939618284","Baden-Württemberg",49.0014194,8.3525528,"car_sharing","amenity","Stadtmobil",NA
"1939618287","Baden-Württemberg",49.0060485,8.3567374,"car_sharing","amenity","Stadtmobil",NA
"1940159996","Baden-Württemberg",49.010778,8.3722944,"car_sharing","amenity","Stadtmobil",NA
"1940159997","Baden-Württemberg",49.0121695,8.3687799,"car_sharing","amenity","Stadtmobil",NA
"1941973484","Baden-Württemberg",49.0150509,8.3576239,"car_sharing","amenity","Stadtmobil",NA
"1943364698","Baden-Württemberg",49.0259714,8.3875174,"car_sharing","amenity","Stadtmobil",NA
"1943364741","Baden-Württemberg",49.0265085,8.3904725,"car_sharing","amenity","Stadtmobil",NA
"1943364746","Baden-Württemberg",49.0216231,8.3668316,"car_sharing","amenity","Stadtmobil",NA
"1943364749","Baden-Württemberg",49.0277866,8.3617304,"car_sharing","amenity","Stadtmobil",NA
"1943364797","Baden-Württemberg",49.0304993,8.3754561,"car_sharing","amenity","Stadtmobil",NA
"1955678780","Baden-Württemberg",49.0378013,8.4528967,"car_sharing","amenity","Stadtmobil",NA
"1957237916","Baden-Württemberg",49.0160544,8.4414375,"car_sharing","amenity","Stadtmobil",NA
"1957237922","Baden-Württemberg",49.015255,8.4978546,"car_sharing","amenity","Stadtmobil",NA
"1957238062","Baden-Württemberg",48.9978269,8.4784012,"car_sharing","amenity","Stadtmobil",NA
"1957238203","Baden-Württemberg",48.986143,8.4749882,"car_sharing","amenity","Stadtmobil",NA
"1959177002","Baden-Württemberg",48.9779196,8.4093306,"car_sharing","amenity","Stadtmobil",NA
